name,n,arg1,arg2,arg3,mean,std
example2_double_sycl_row,32768,256,128,16,0.00336136,0.0002048584140227547
example2_double_sycl_row,33554432,16384,2048,64,0.08925242000000001,0.007610279407271105
example2_double_sycl_row,4194304,2048,2048,64,0.01255072,0.0011184648013400937
example2_double_sycl_row,524288,1024,512,32,0.00829786,0.0015448490053684067
example2_double_sycl_row,536870912,65536,8192,128,1.7446559200000002,0.20781496818130682
example2_double_sycl_row,65536,512,128,16,0.0036646,0.0002403308094256408
example2_double_sycl_row,67108864,32768,2048,64,0.17530706,0.022713584036251008
example2_double_sycl_row,8388608,4096,2048,64,0.02209818,0.0012766489887232747
example2_double_sycl_row_kahan,1048576,2048,512,32,0.009257419999999999,0.0023674355202304835
example2_double_sycl_row_kahan,131072,1024,128,16,0.00463416,0.0004051460487482589
example2_double_sycl_row_kahan,134217728,16384,8192,128,0.3978858,0.04407405532852679
example2_double_sycl_row_kahan,16777216,8192,2048,64,0.04530658,0.00302257795827958
example2_double_sycl_row_kahan,2097152,2048,1024,32,0.01050428,0.002191607024211099
example2_double_sycl_row_kahan,262144,2048,128,16,0.00666946,0.000873526916515771
example2_double_sycl_row_kahan,268435456,32768,8192,128,0.8220124400000001,0.12466988051947919
example2_double_sycl_row_kahan,32768,256,128,16,0.0033739399999999998,0.00021483238934156106
example2_double_sycl_row_kahan,33554432,8192,4096,64,0.08818552,0.005261845316259773
example2_double_sycl_row_kahan,4194304,2048,2048,64,0.0124766,0.0013685199214882495
example2_double_sycl_row_kahan,524288,1024,512,32,0.00792934,0.0017037392802603457
example2_double_sycl_row_kahan,536870912,65536,8192,128,1.69472198,0.18279876424631317
example2_double_sycl_row_kahan,65536,512,128,16,0.0037281000000000003,0.00023750258860028608
example2_double_sycl_row_kahan,67108864,32768,2048,64,0.17108784,0.01354044276905452
example2_double_sycl_row_kahan,8388608,8192,1024,32,0.021396039999999998,0.0017615182801857536
example2_double_sycl_row_neumaier,1048576,4096,256,16,0.0091803,0.0023370258026048445
example2_double_sycl_row_neumaier,131072,1024,128,16,0.00492206,0.00039709487942468636
example2_double_sycl_row_neumaier,134217728,16384,8192,128,0.41020333999999997,0.055801519958308926
example2_double_sycl_row_neumaier,16777216,8192,2048,64,0.04602922,0.0033696650611123977
example2_double_sycl_row_neumaier,2097152,2048,1024,32,0.0103891,0.0019589615767502105
example2_double_sycl_row_neumaier,262144,2048,128,16,0.00689048,0.0009404939266802572
example2_double_sycl_row_neumaier,268435456,32768,8192,128,0.8486431600000001,0.13669958915295294
example2_double_sycl_row_neumaier,32768,256,128,16,0.00372082,0.0003434082885619699
