,,,example1,,,,,,example2,,,,,
n,,,double,double_kahan,double_neumaier,float,float_kahan,float_neumaier,double,double_kahan,double_neumaier,float,float_kahan,float_neumaier
134217728,4096,32768,3e-15,1e-16,1e-16,2e-05,6e-08,6e-08,4e-14,1e-15,1e-15,6e-05,5e-08,5e-08
134217728,8192,16384,3e-15,1e-16,1e-16,1e-05,6e-08,6e-08,4e-14,1e-15,1e-15,3e-05,5e-08,5e-08
134217728,16384,8192,1e-15,1e-16,1e-16,5e-06,6e-08,6e-08,8e-15,1e-15,1e-15,4e-05,5e-08,5e-08
134217728,32768,4096,1e-15,1e-16,1e-16,6e-06,6e-08,6e-08,2e-14,1e-15,1e-15,4e-05,5e-08,9e-08
134217728,65536,2048,2e-15,1e-16,1e-16,3e-05,6e-08,6e-08,2e-14,1e-15,1e-15,5e-04,6e-08,1e-07
134217728,131072,1024,5e-16,1e-16,1e-16,5e-05,6e-08,6e-08,3e-14,1e-15,1e-15,2e-04,5e-08,1e-07
268435456,2048,131072,3e-14,1e-16,1e-16,4e-01,4e-01,4e-01,8e-14,5e-16,5e-16,2e-04,5e-08,5e-08
268435456,4096,65536,8e-15,1e-16,1e-16,4e-01,4e-01,4e-01,2e-14,5e-16,5e-16,1e-04,5e-08,5e-08
268435456,8192,32768,2e-15,1e-16,1e-16,4e-01,4e-01,4e-01,1e-14,5e-16,5e-16,8e-05,5e-08,5e-08
268435456,16384,16384,4e-15,1e-16,1e-16,4e-01,4e-01,4e-01,1e-14,5e-16,5e-16,9e-06,5e-08,5e-08
268435456,32768,8192,4e-15,1e-16,1e-16,4e-01,4e-01,4e-01,3e-14,5e-16,5e-16,2e-04,5e-08,5e-08
268435456,65536,4096,2e-15,1e-16,1e-16,4e-01,4e-01,4e-01,5e-14,5e-16,5e-16,5e-04,5e-08,6e-08
268435456,131072,2048,2e-15,1e-16,1e-16,4e-01,4e-01,4e-01,2e-14,5e-16,5e-16,9e-04,5e-08,6e-08
268435456,262144,1024,1e-15,1e-16,1e-16,4e-01,4e-01,4e-01,2e-15,3e-16,3e-16,2e-04,5e-08,8e-08
0,,,,,,8e-01,8e-01,8e-01,,,,5e-03,5e-03,5e-03
0,,,,,,8e-01,8e-01,8e-01,,,,5e-03,5e-03,5e-03
0,,,,,,8e-01,8e-01,8e-01,,,,5e-03,5e-03,5e-03
0,,,,,,8e-01,8e-01,8e-01,,,,5e-03,5e-03,5e-03
0,,,,,,8e-01,8e-01,8e-01,,,,5e-03,5e-03,5e-03
0,,,,,,8e-01,8e-01,8e-01,,,,5e-03,5e-03,5e-03
0,,,,,,8e-01,8e-01,8e-01,,,,5e-03,5e-03,5e-03
0,,,,,,8e-01,8e-01,8e-01,,,,7e-03,5e-03,5e-03
0,,,,,,,,1e-08,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
